Player,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College
Dale Ellis,Georgia,Black,1984,2000,G-F,6-7,205,"August 6, 1960",University of Tennessee
Harold Ellis,Georgia,Black,1994,1998,G,6-5,200,"October 7, 1970",Morehouse College
LaPhonso Ellis,Illinois,Black,1993,2003,F,6-8,240,"May 5, 1970",University of Notre Dame
LeRon Ellis,California,Black,1992,1996,F-C,6-9,225,"April 28, 1969",Syracuse University
Monta Ellis,Mississippi,Black,2006,2016,G,6-3,185,"October 26, 1985",
Pervis Ellison,Georgia,Black,1990,2001,F-C,6-9,210,"April 3, 1967",University of Louisville
Francisco Elson,Netherlands,Black,2004,2012,C,7-0,235,"February 28, 1976",University of California
Melvin Ely,Illinois,Black,2003,2014,C,6-10,260,"May 2, 1978","California State University, Fresno"
Andre Emmett,Texas,Black,2005,2012,F,6-5,230,"August 27, 1982",Texas Tech University
Chris Engler,Minnesota,White,1983,1988,C,6-11,245,"March 1, 1959",University of Wyoming
Wayne Englestad,California,Black,1989,1989,F,6-8,245,"December 6, 1966","University of California, Irvine"
A.J. English,Delaware,Black,1991,1992,G,6-3,175,"July 11, 1967",Virginia Union University
Alex English*,South Carolina,Black,1977,1991,F,6-7,190,"January 5, 1954",University of South Carolina
Jo Jo English,Germany,Black,1993,1995,G,6-4,195,"February 4, 1970",University of South Carolina
Kim English,Maryland,Black,2013,2013,G,6-6,200,"September 24, 1988",University of Missouri
James Ennis,California,Black,2015,2016,F,6-7,210,"July 1, 1990","California State University, Long Beach"
Tyler Ennis,Canada,Black,2015,2016,G,6-3,194,"August 24, 1994",Syracuse University
Semih Erden,Turkey,White,2011,2012,C,7-0,240,"July 28, 1986",
Julius Erving*,New York,Black,1972,1987,F-G,6-7,210,"February 22, 1950",University of Massachusetts Amherst
Evan Eschmeyer,Ohio,White,2000,2003,C,6-11,255,"May 30, 1975",Northwestern University
Vincenzo Esposito,Italy,White,1996,1996,G,6-3,198,"January 3, 1969",
Brian Evans,Illinois,White,1997,1999,F,6-8,220,"September 13, 1973",Indiana University
Jeremy Evans,Arkansas,Black,2011,2016,F,6-9,196,"October 24, 1987",Western Kentucky University
Maurice Evans,Kansas,Black,2002,2012,G,6-5,220,"November 8, 1978",University of Texas at Austin
Mike Evans,North Carolina,Black,1980,1988,G,6-1,170,"April 19, 1955",Kansas State University
Reggie Evans,Florida,Black,2003,2015,F,6-8,245,"May 18, 1980",University of Iowa
Tyreke Evans,Pennsylvania,Black,2010,2016,G-F,6-6,220,"September 19, 1989",University of Memphis
Daniel Ewing,Florida,Black,2006,2007,G,6-3,185,"March 26, 1983",Duke University
Patrick Ewing*,Jamaica,Black,1986,2002,C-F,7-0,240,"August 5, 1962",Georgetown University
Patrick Ewing,Massachusetts,Black,2011,2011,F,6-8,235,"May 20, 1984",Georgetown University
Dante Exum,Australia,Black,2015,2015,G,6-6,190,"July 13, 1995",
Christian Eyenga,Congo,Black,2011,2012,F,6-5,210,"June 22, 1989",
Festus Ezeli,Nigeria,Black,2013,2016,C,6-11,255,"October 21, 1989",Vanderbilt University
Kenneth Faried,New Jersey,Black,2012,2016,F,6-8,228,"November 19, 1989",Morehead State University
Jordan Farmar,California,Black and White,2007,2015,G,6-2,180,"November 30, 1986","University of California, Los Angeles"
Desmon Farmer,Michigan,Black,2007,2009,G,6-5,220,"October 7, 1981",University of Southern California
Jim Farmer,Alabama,Black,1988,1994,G,6-4,190,"September 23, 1964",University of Alabama
Tony Farmer,California,Black,1998,2000,F,6-9,244,"January 3, 1970",University of Nebraska
Vitor Faverani,Brazil,White,2014,2014,C,6-11,260,"May 5, 1988",
Derrick Favors,Georgia,Black,2011,2016,F-C,6-10,265,"July 15, 1991",Georgia Institute of Technology
Nick Fazekas,Colorado,White,2008,2008,F,6-11,235,"June 17, 1985","University of Nevada, Reno"
Jamie Feick,Ohio,Black,1997,2001,C,6-9,255,"July 3, 1974",Michigan State University
Dave Feitl,Pennsylvania,Black,1987,1992,C,6-11,235,"June 8, 1962",University of Texas at El Paso
Cristiano Felicio,Brazil,Black,2016,2016,F-C,6-10,275,"July 7, 1992",
Carrick Felix,Arizona,Black,2014,2014,G,6-6,201,"August 17, 1990",Arizona State University
Noel Felix,California,Black,2006,2006,F,6-9,225,"October 4, 1981","California State University, Fresno"
Raymond Felton,South Carolina,Black,2006,2016,G,6-1,205,"June 26, 1984",University of North Carolina
Desmond Ferguson,Michigan,Black,2004,2004,G-F,6-7,203,"July 22, 1977",University of Detroit Mercy
Rudy Fernandez,Spain,White,2009,2012,G,6-6,185,"April 4, 1985",
Rolando Ferreira,Brazil,White,1989,1989,C,7-1,240,"May 24, 1964",University of Houston
Duane Ferrell,Maryland,Black,1989,1999,F-G,6-7,209,"February 28, 1965",Georgia Institute of Technology
Danny Ferry,Maryland,White,1991,2003,F,6-10,230,"October 17, 1966",Duke University
Kyrylo Fesenko,Ukraine,White,2008,2012,C,7-1,288,"December 24, 1986",
Kenny Fields,Iowa,Black,1985,1988,F-G,6-5,220,"February 9, 1962","University of California, Los Angeles"
Landry Fields,California,White,2011,2015,F,6-7,210,"June 27, 1988",Stanford University
Michael Finley,Illinois,Black,1996,2010,G-F,6-7,215,"March 6, 1973",University of Wisconsin
Matt Fish,Iowa,Black,1995,1997,C,6-11,235,"November 18, 1969",University of North Carolina at Wilmington
Derek Fisher,Arkansas,Black and White,1997,2014,G,6-1,200,"August 9, 1974",University of Arkansas at Little Rock
Gerald Fitch,Georgia,Black,2006,2006,G,6-3,188,"August 12, 1982",University of Kentucky
Marcus Fizer,Michigan,Black,2001,2006,F,6-9,262,"August 10, 1978",Iowa State University
Vern Fleming,New York,Black,1985,1996,G,6-5,185,"February 4, 1962",University of Georgia
Luis Flores,Dominican Republic,Black,2005,2005,G,6-2,200,"April 11, 1981",Manhattan College
Sleepy Floyd,North Carolina,Black,1983,1995,G,6-3,170,"March 6, 1960",Georgetown University
Jonny Flynn,New York,Black,2010,2012,G,6-0,185,"February 6, 1989",Syracuse University
Isaac Fontaine,California,Black,2002,2002,G,6-4,210,"April 16, 1975",Washington State University
Jeff Foote,New York,Black,2012,2012,C,7-0,265,"July 14, 1987",Cornell University
Gary Forbes,Panama,Black,2011,2012,F,6-7,220,"February 25, 1985",University of Massachusetts Amherst
Alphonso Ford,Mississippi,Black,1994,1995,G,6-1,190,"October 31, 1971",Mississippi Valley State University
Alton Ford,Texas,Black,2002,2004,F,6-9,275,"May 29, 1981",University of Houston
Phil Ford,North Carolina,Black,1979,1985,G,6-2,175,"February 9, 1956",University of North Carolina
Sharrod Ford,District of Columbia,Black,2006,2006,F,6-9,225,"January 9, 1982",Clemson University
Sherell Ford,Louisiana,Black,1996,1996,F,6-7,210,"August 26, 1972",University of Illinois at Chicago
T.J. Ford,Texas,Black,2004,2012,G,6-0,165,"March 24, 1983",University of Texas at Austin
Joseph Forte,Georgia,Black,2002,2003,G,6-4,194,"March 23, 1981",University of North Carolina
Courtney Fortson,Texas,Black,2012,2012,G,5-11,185,"May 23, 1988",University of Arkansas
Danny Fortson,Pennsylvania,Black,1998,2007,F,6-7,260,"March 27, 1976",University of Cincinnati
Greg Foster,California,White,1991,2003,F-C,6-11,240,"October 3, 1968",University of Texas at El Paso
Jeff Foster,Texas,White,2000,2012,F-C,6-11,236,"January 16, 1977",Texas State University
Rod Foster,Alabama,Black,1984,1986,G,6-1,160,"October 10, 1960","University of California, Los Angeles"
Antonis Fotsis,Greece,White,2002,2002,F,6-10,219,"April 1, 1981",
Evan Fournier,France,White,2013,2016,G-F,6-7,205,"October 29, 1992",
Tremaine Fowlkes,California,Black,2002,2005,F,6-8,220,"April 11, 1976","California State University, Fresno"
Rick Fox,Canada,White,1992,2004,F-G,6-7,230,"July 24, 1969",University of North Carolina
Randy Foye,New Jersey,Black,2007,2016,G,6-4,213,"September 24, 1983",Villanova University
Adonal Foyle,Saint Vincent and the Grenadines,Black,1998,2009,C,6-10,250,"March 9, 1975",Colgate University
Richie Frahm,Washington,White,2004,2008,G,6-5,210,"August 14, 1977",Gonzaga University
Steve Francis,Maryland,Black,2000,2008,G,6-3,195,"February 21, 1977",University of Maryland
Tellis Frank,Indiana,Black,1988,1994,F-C,6-10,225,"April 26, 1965",Western Kentucky University
Jamaal Franklin,California,Black,2014,2015,G,6-5,191,"July 21, 1991",San Diego State University
Tim Frazier,Texas,Black and White,2015,2016,G,6-1,170,"November 1, 1990",Pennsylvania State University
Anthony Frederick,California,Black,1989,1992,F,6-7,205,"December 7, 1964",Pepperdine University
Jimmer Fredette,New York,White,2012,2016,G,6-2,195,"February 25, 1989",Brigham Young University
World B. Free,Georgia,Black,1976,1988,G,6-2,185,"December 9, 1953",Guilford College
Joel Freeland,England,White,2013,2015,F-C,6-10,250,"February 7, 1987",
Matt Freije,Kansas,White,2005,2007,F,6-10,240,"October 2, 1981",Vanderbilt University
Channing Frye,New York,Black,2006,2016,F-C,6-11,255,"May 17, 1983",University of Arizona
Hiram Fuller,Missouri,White,2004,2004,F,6-9,240,"May 15, 1981","California State University, Fresno"
Todd Fuller,North Carolina,White,1997,2001,C,6-11,255,"July 25, 1974",North Carolina State University
Lawrence Funderburke,Ohio,Black and White,1998,2005,F,6-9,230,"December 15, 1970",Ohio State University
Dan Gadzuric,Holland,Black and White,2003,2012,C,6-11,240,"February 2, 1978","University of California, Los Angeles"
Deng Gai,South Sudan,Black,2006,2006,F,6-9,250,"March 22, 1982",Fairfield University
Corey Gaines,California,White,1989,1995,G,6-3,195,"June 1, 1965",Loyola Marymount University
Reece Gaines,Wisconsin,Black,2004,2006,G,6-6,205,"January 7, 1981",University of Louisville
Sundiata Gaines,New York,Black,2010,2012,G,6-1,185,"April 18, 1986",University of Georgia
Chad Gallagher,Illinois,Black,1994,1994,C,6-10,255,"May 30, 1969",Creighton University
Danilo Gallinari,Italy,White,2009,2016,F,6-10,225,"August 8, 1988",
Langston Galloway,Louisiana,Black,2015,2016,G,6-2,200,"December 9, 1991",Saint Joseph's University
Kevin Gamble,Illinois,Black,1988,1997,F-G,6-5,210,"November 13, 1965",University of Iowa
Jorge Garbajosa,Spain,White,2007,2008,F,6-9,245,"December 19, 1977",
Ruben Garces,Panama,White,2001,2001,F,6-9,245,"October 17, 1973",Providence College
Alex Garcia,Brazil,Black,2004,2005,G,6-3,220,"March 4, 1980",
Francisco Garcia,Dominican Republic,Black and White,2006,2015,F-G,6-7,195,"December 31, 1981",University of Louisville
Thomas Gardner,Oregon,Black,2008,2009,G,6-5,225,"February 8, 1985",University of Missouri
Winston Garland,Indiana,Black,1988,1995,G,6-2,170,"December 19, 1964",Missouri State University
Chris Garner,Tennessee,Black,1998,2001,G,5-10,156,"February 2, 1975",University of Memphis
Bill Garnett,Missouri,White,1983,1986,F,6-9,225,"April 22, 1960",University of Wyoming
Kevin Garnett,South carolina,Black,1996,2016,F,6-11,240,"May 19, 1976",
Marlon Garnett,California,Black,1999,1999,G,6-2,186,"July 3, 1975",Santa Clara University
Dean Garrett,California,Black,1997,2002,C,6-10,225,"November 27, 1966",Indiana University
Diante Garrett,Wisconsin,Black,2013,2014,G,6-4,190,"November 3, 1988",Iowa State University
Tom Garrick,Rhode Island,Black and White,1989,1992,G,6-2,185,"July 7, 1966",University of Rhode Island
Kiwane Garris,Illinois,White,1998,2000,G,6-2,183,"September 24, 1974",University of Illinois at Urbana-Champaign
Pat Garrity,Nevada,White,1999,2008,F,6-9,238,"August 23, 1976",University of Notre Dame
Marc Gasol,Spain,White,2009,2016,C,7-1,255,"January 29, 1985",
Pau Gasol,Spain,White,2002,2016,F-C,7-0,250,"July 6, 1980",
Chris Gatling,New Jersey,Black,1992,2002,F-C,6-10,220,"September 3, 1967",Old Dominion University
Kenny Gattison,North Carolina,Black,1987,1996,F-C,6-8,225,"May 23, 1964",Old Dominion University
Rudy Gay,Maryland,Black,2007,2016,F,6-8,230,"August 17, 1986",University of Connecticut
Andrew Gaze,Australia,White,1994,1999,G,6-7,205,"July 24, 1965",Seton Hall University
Reggie Geary,New Jersey,Black,1997,1998,G,6-2,187,"August 31, 1973",University of Arizona
Alonzo Gee,Florida,Black,2010,2016,G,6-6,225,"May 29, 1987",University of Alabama
Matt Geiger,Massachusetts,White,1993,2002,C,7-0,243,"September 10, 1969",Georgia Institute of Technology
Mickael Gelabale,Guadeloupe,Black,2007,2013,F,6-7,215,"May 22, 1983",
Devean George,minisota,Black,2000,2010,G-F,6-8,220,"August 29, 1977",Augsburg College
Paul George,California,Black,2011,2016,F,6-9,220,"May 2, 1990","California State University, Fresno"
Tate George,New Jersey,Black and White,1991,1995,G,6-5,190,"May 29, 1968",University of Connecticut
Derrick Gervin,Michigan,Black,1990,1991,F,6-8,200,"March 28, 1963",University of Texas at San Antonio
George Gervin*,Michigan,Black,1973,1986,G-F,6-7,180,"April 27, 1952",Eastern Michigan University
Daniel Gibson,Texas,Black,2007,2013,G,6-2,190,"February 27, 1986",University of Texas at Austin
Mike Gibson,South carolina,Black,1984,1986,F,6-10,205,"October 27, 1960",University of South Carolina Upstate
Taj Gibson,New York,Black,2010,2016,F,6-9,225,"June 24, 1985",University of Southern California
J.R. Giddens,Oklahoma,Black,2009,2010,G,6-5,215,"February 13, 1985",University of New Mexico
Trey Gilder,Texas,Black,2010,2010,F,6-9,185,"January 24, 1985",Northwestern State University
Eddie Gill,Colorado,Black,2001,2009,G,6-0,190,"August 16, 1978",Weber State University
Kendall Gill,Illinois,Black,1991,2005,G,6-5,195,"May 25, 1968",University of Illinois at Urbana-Champaign
Ben Gillery,Michigan,Black,1989,1989,C,7-0,235,"September 19, 1965",Georgetown University
Armen Gilliam,Pennsylvania,Black,1988,2000,F-C,6-9,230,"May 28, 1964","University of Nevada, Las Vegas"
Artis Gilmore*,Florida,Black,1972,1988,C,7-2,240,"September 21, 1949",Jacksonville University
Manu Ginobili,Argentina,White,2003,2016,G,6-6,205,"July 28, 1977",
Gordan Giricek,Croatia,White,2003,2008,G-F,6-6,210,"June 20, 1977",
Mickell Gladness,Alabama,Black,2012,2012,C,6-11,220,"July 26, 1986",Alabama A&M University
Gerald Glass,Mississippi,Black,1991,1996,G-F,6-5,221,"November 12, 1967",University of Mississippi
Mike Glenn,Georgia,Black,1978,1987,G,6-2,175,"September 10, 1955",Southern Illinois University
Georgi Glouchkov,Bulgaria,White,1986,1986,F,6-8,235,"January 10, 1960",
Dion Glover,Georgia,Black,2000,2005,G,6-5,228,"October 22, 1978",Georgia Institute of Technology
Andreas Glyniadakis,Greece,White,2007,2007,C,7-1,280,"August 21, 1981",
Mike Gminski,Connecticut,White,1981,1994,C,6-11,250,"August 3, 1959",Duke University
Rudy Gobert,France,Black and White,2014,2016,C,7-1,245,"June 26, 1992",
Dan Godfread,Indiana,White,1991,1992,C,6-10,250,"June 14, 1967",University of Evansville
Anthony Goldwire,Florida,Black,1996,2006,G,6-1,182,"September 6, 1971",University of Houston
Ryan Gomes,Connecticut,Black,2006,2014,F,6-7,250,"September 1, 1982",Providence College
Grant Gondrezick,Colorado,Black,1987,1989,G,6-5,205,"January 19, 1963",Pepperdine University
Drew Gooden,California,Black,2003,2016,F,6-10,250,"September 24, 1981",University of Kansas
Steve Goodrich,Pennsylvania,White,2001,2002,F,6-10,220,"March 18, 1976",Princeton University
Archie Goodwin,Arkansas,Black,2014,2016,G,6-5,200,"August 17, 1994",University of Kentucky
Aaron Gordon,California,Black and White,2015,2016,F,6-9,220,"September 16, 1995",University of Arizona
Ben Gordon,England,Black,2005,2015,G,6-3,200,"April 4, 1983",University of Connecticut
Drew Gordon,California,Black and White,2015,2015,F,6-9,245,"July 12, 1990",University of New Mexico
Eric Gordon,Indiana,Black,2009,2016,G,6-4,215,"December 25, 1988",Indiana University
Lancaster Gordon,Mississippi,Black,1985,1988,G,6-3,185,"June 24, 1962",University of Louisville
Marcin Gortat,Poland,White,2008,2016,C-F,6-11,240,"February 17, 1984",
Andrew Goudelock,Georgia,Black,2012,2016,G,6-3,200,"December 7, 1988",College of Charleston
Ricky Grace,Texas,White,1994,1994,G,6-1,180,"August 20, 1967",University of Oklahoma
Greg Graham,Indiana,Black,1994,1998,G,6-4,174,"November 26, 1970",Indiana University
Joey Graham,Delaware,Black,2006,2011,F,6-7,225,"June 11, 1982",Oklahoma State University
Orlando Graham,Alabama,Black,1989,1989,F,6-8,220,"May 5, 1965",Auburn University at Montgomery
Paul Graham,Pennsylvania,Black and White,1992,1994,F-G,6-6,200,"November 28, 1967",Ohio University
Stephen Graham,Delaware,Black,2006,2011,G,6-6,215,"June 11, 1982",Oklahoma State University
Jim Grandholm,Indiana,Black,1991,1991,F,7-0,235,"October 4, 1960",University of South Florida
Ron Grandison,California,Black,1989,1996,F,6-6,215,"July 9, 1964",University of New Orleans
Danny Granger,Louisiana,Black,2006,2015,F,6-9,222,"April 20, 1983",University of New Mexico
Stewart Granger,Canada,White,1984,1987,G,6-3,190,"October 27, 1961",Villanova University
Brian Grant,Ohio,Black,1995,2006,F,6-9,254,"March 5, 1972",Xavier University
Gary Grant,Ohio,Black,1989,2001,G,6-3,185,"April 21, 1965",University of Michigan
Greg Grant,New Jersey,Black and White,1990,1996,G,5-7,140,"August 29, 1966",Trenton State University
Harvey Grant,Georgia,Black,1989,1999,F,6-8,195,"July 4, 1965",University of Oklahoma
Horace Grant,Georgia,Black,1988,2004,F-C,6-10,215,"July 4, 1965",Clemson University
Jerami Grant,Oregon,Black,2015,2016,F,6-8,210,"March 12, 1994",Syracuse University
Jerian Grant,Maryland,Black,2016,2016,G,6-4,195,"October 9, 1992",University of Notre Dame
Josh Grant,Utah,Black,1994,1994,F,6-9,223,"August 7, 1967",University of Utah
Paul Grant,Pennsylvania,Black,1999,2004,C,7-0,245,"January 6, 1974",University of Wisconsin
Butch Graves,New York,Black,1985,1985,G,6-3,200,"January 5, 1962",Yale University
Aaron Gray,California,Black and White,2008,2014,C,7-0,270,"December 7, 1984",University of Pittsburgh
Devin Gray,Maryland,Black,1997,2000,F,6-7,240,"May 31, 1972",Clemson University
Ed Gray,California,Black,1998,1999,G,6-3,210,"September 27, 1975",University of California
Evric Gray,California,Black,1997,1997,F,6-7,235,"December 13, 1969","University of Nevada, Las Vegas"
Stuart Gray,Panama,White,1985,1991,C-F,7-0,235,"May 27, 1963","University of California, Los Angeles"
Sylvester Gray,Tennessee,Black,1989,1989,F,6-6,230,"July 8, 1967",University of Memphis
Jeff Grayer,Michigan,Black,1989,1998,F-G,6-5,200,"December 17, 1965",Iowa State University
A.C. Green,Oregon,Black,1986,2001,F-C,6-9,220,"October 4, 1963",Oregon State University
Danny Green,New York,Black and White,2010,2016,G-F,6-6,215,"June 22, 1987",University of North Carolina
Devin Green,Ohio,Black,2006,2006,G,6-7,210,"October 25, 1982",Hampton University
Draymond Green,Michigan,Black,2013,2016,F,6-7,230,"March 4, 1990",Michigan State University
Erick Green,California,Black,2015,2016,G,6-4,185,"May 9, 1991",Virginia Polytechnic Institute and State University
Gerald Green,Texas,Black and White,2006,2016,G-F,6-7,205,"January 26, 1986",
JaMychal Green,Alabama,Black,2015,2016,F,6-9,227,"June 21, 1990",University of Alabama
Jeff Green,Maryland,Black,2008,2016,F,6-9,235,"August 28, 1986",Georgetown University
Ken Green,georgia,Black,1986,1986,F,6-8,215,"September 19, 1959",University of Texas-Pan American
Kenny Green,Florida,Black,1986,1987,F,6-6,210,"October 11, 1964",Wake Forest University
Litterial Green,Mississippi,Black,1993,1999,G,6-1,185,"March 7, 1970",University of Georgia
Rickey Green,Illinois,Black,1978,1992,G,6-0,170,"August 18, 1954",University of Michigan
Sean Green,California,Black,1992,1994,G-F,6-5,210,"February 2, 1970",Iona College
Sidney Green,New York,Black,1984,1993,F-C,6-9,220,"January 4, 1961","University of Nevada, Las Vegas"
Taurean Green,Florida,Black,2008,2008,G,6-0,177,"November 28, 1986",University of Florida
Willie Green,Michigan,Black,2004,2015,G,6-4,200,"July 28, 1981",University of Detroit Mercy
Donte Greene,Germany,Black,2009,2012,F,6-11,226,"February 21, 1988",Syracuse University
Orien Greene,Florida,Black,2006,2011,G,6-4,208,"February 4, 1982",University of Louisiana at Lafayette
Dave Greenwood,California,White,1980,1991,F-C,6-9,222,"May 27, 1957","University of California, Los Angeles"
Lynn Greer,Pennsylvania,Black,2007,2007,G,6-2,175,"October 23, 1979",Temple University
Claude Gregory,District of Columbia,Black,1986,1988,F,6-8,205,"December 26, 1958",University of Wisconsin
Kevin Grevey,Ohio,Black,1976,1985,G-F,6-5,210,"May 12, 1953",University of Kentucky
Adrian Griffin,Kansas,Black,2000,2008,G-F,6-5,217,"July 4, 1974",Seton Hall University
Blake Griffin,Oklahoma,Black and White,2011,2016,F,6-10,251,"March 16, 1989",University of Oklahoma
Eddie Griffin,Pennsylvania,Black,2002,2007,F,6-10,220,"May 30, 1982",Seton Hall University
Taylor Griffin,Oklahoma,Black and White,2010,2010,F,6-7,238,"April 18, 1986",University of Oklahoma
Darrell Griffith,Kentucky,Black,1981,1991,G,6-4,190,"June 16, 1958",University of Louisville
Derek Grimm,Illinois,White,1998,1998,F,6-9,230,"August 3, 1974",University of Missouri
Anthony Grundy,Kentucky,Black,2006,2006,G,6-3,180,"April 15, 1979",North Carolina State University
Ernie Grunfeld,Romania,White,1978,1986,G-F,6-6,210,"April 24, 1955",University of Tennessee
Petur Gudmundsson,Iceland,White,1982,1989,C,7-2,260,"October 30, 1958",University of Washington
Tom Gugliotta,New York,White,1993,2005,F,6-10,240,"December 19, 1969",North Carolina State University
Andres Guibert,Cuba,Black,1994,1995,F-C,6-10,225,"October 28, 1968",
Jay Guidinger,Wisconsin,White,1993,1994,C,6-10,255,"August 18, 1969",University of Minnesota Duluth
Jorge Gutierrez,Mexico,Others,2014,2016,G,6-3,191,"December 27, 1988",University of California
A.J. Guyton,Illinois,Black,2001,2003,G,6-1,180,"February 12, 1978",Indiana University
Hamed Haddadi,Iran,Others,2009,2013,C,7-2,254,"May 19, 1985",
Scott Haffner,Indiana,White,1990,1991,G,6-3,180,"February 2, 1966",University of Evansville
Malik Hairston,Michigan,Black,2009,2010,G,6-6,220,"February 23, 1987",University of Oregon
P.J. Hairston,North Carolina,Black,2015,2016,G-F,6-6,230,"December 24, 1992",University of North Carolina
Marcus Haislip,Tennessee,Black,2003,2010,F,6-10,230,"December 22, 1980",University of Tennessee
Jack Haley,California,White,1989,1998,C-F,6-10,240,"January 27, 1964","University of California, Los Angeles"
Mike Hall,Illinois,Black,2007,2007,F,6-8,230,"June 5, 1984",George Washington University
Darvin Ham,Michigan,Black,1997,2005,F,6-7,220,"July 23, 1973",Texas Tech University
Steve Hamer,Tennessee,Black,1997,1997,C,7-0,245,"November 13, 1973",University of Tennessee
Jordan Hamilton,California,Black,2012,2015,G-F,6-7,220,"October 6, 1990",University of Texas at Austin
Justin Hamilton,California,White,2014,2015,C,7-0,260,"April 1, 1990",Louisiana State University
Richard Hamilton,Pennsylvania,Black,2000,2013,G-F,6-6,185,"February 14, 1978",University of Connecticut
Tang Hamilton,Mississippi,Black,2002,2002,F,6-8,220,"May 26, 1978",Mississippi State University
Thomas Hamilton,Illinois,Black,1996,2000,C,7-2,330,"April 3, 1975",University of Pittsburgh
Zendon Hamilton,New York,Black,2001,2006,F,6-11,250,"April 27, 1975",St. John's University
Geert Hammink,Netherlands,White,1994,1996,C,7-0,262,"July 12, 1969",Louisiana State University
Tom Hammonds,Florida,Black,1990,2001,F,6-9,215,"March 27, 1967",Georgia Institute of Technology
Darrin Hancock,Alabama,Black,1995,1997,G-F,6-7,205,"November 3, 1971",University of Kansas
Ben Handlogten,Michigan,White,2004,2005,F,6-10,240,"November 16, 1973",Western Michigan University
Ben Hansbrough,Missouri,White,2013,2013,G,6-3,203,"December 23, 1987",University of Notre Dame
Tyler Hansbrough,Missouri,White,2010,2016,F,6-9,250,"November 3, 1985",University of North Carolina
Bob Hansen,Iowa,White,1984,1992,G,6-6,190,"January 18, 1961",University of Iowa
Travis Hansen,Utah,Black,2004,2004,G,6-6,205,"April 15, 1978",Brigham Young University
Reggie Hanson,North Carolina,Black,1998,1998,F,6-8,195,"October 6, 1968",University of Kentucky
Bill Hanzlik,Ohio,White,1981,1990,G-F,6-7,185,"December 6, 1957",University of Notre Dame
Luke Harangody,Illinois,White,2011,2012,F,6-8,246,"January 2, 1988",University of Notre Dame
Anfernee Hardaway,Tennessee,Black,1994,2008,G-F,6-7,195,"July 18, 1971",University of Memphis
Tim Hardaway,Illinois,Black,1990,2003,G,6-0,175,"September 1, 1966",University of Texas at El Paso
Tim Hardaway,Florida,Black,2014,2016,G,6-6,205,"March 16, 1992",University of Michigan
James Harden,California,Black,2010,2016,G,6-5,220,"August 26, 1989",Arizona State University
Maurice Harkless,New York,Black,2013,2016,F-G,6-9,215,"May 11, 1993",St. John's University
Jerome Harmon,Indiana,Black,1995,1995,G,6-4,190,"February 6, 1969",University of Louisville
Derek Harper,Georgia,Black,1984,1999,G,6-4,185,"October 13, 1961",University of Illinois at Urbana-Champaign
Justin Harper,Virginia,Black,2012,2016,F,6-10,225,"August 30, 1989",University of Richmond
Ron Harper,Ohio,Black,1987,2001,G-F,6-6,185,"January 20, 1964",Miami University
Matt Harpring,Ohio,White,1999,2009,F,6-7,231,"May 31, 1976",Georgia Institute of Technology
Montrezl Harrell,North Carolina,Black,2016,2016,F,6-8,240,"January 26, 1994",University of Louisville
Josh Harrellson,Missouri,White,2012,2014,C,6-10,275,"February 12, 1989",University of Kentucky
Adam Harrington,Massachosetts,Black,2003,2003,G,6-5,200,"July 5, 1980",Auburn University
Al Harrington,New Jersey,Black,1999,2014,F,6-9,230,"February 17, 1980",
Junior Harrington,North Carolina,Black,2003,2007,G,6-4,180,"October 2, 1980",Wingate University
Othella Harrington,Mississippi,Black,1997,2008,F-C,6-9,235,"January 31, 1974",Georgetown University
Devin Harris,Wisvonsin,Black,2005,2016,G,6-3,192,"February 27, 1983",University of Wisconsin
Elias Harris,German,Black and White,2014,2014,F,6-8,239,"July 6, 1989",Gonzaga University
Gary Harris,Indiana,Black,2015,2016,G,6-4,210,"September 14, 1994",Michigan State University
Joe Harris,Washington,Black,2015,2016,G,6-6,219,"September 7, 1991",University of Virginia
Lucious Harris,California,Black,1994,2005,G,6-5,190,"December 18, 1970","California State University, Long Beach"
Manny Harris,Michigan,Black,2011,2014,G,6-5,185,"September 21, 1989",University of Michigan
Mike Harris,Texas,Black,2008,2014,F,6-6,240,"June 15, 1983",Rice University
Steve Harris,Missouri,Black,1986,1990,G,6-5,195,"October 15, 1963",University of Tulsa
Terrel Harris,Texas,Black,2012,2013,G,6-5,190,"August 10, 1987",Oklahoma State University
Tobias Harris,New York,Black,2012,2016,F,6-9,235,"July 15, 1992",University of Tennessee
Tony Harris,Louisiana,Black,1991,1995,G,6-3,190,"May 13, 1967",University of New Orleans
Aaron Harrison,Texas,Black,2016,2016,G,6-6,210,"October 28, 1994",University of Kentucky
David Harrison,Michigan,Black,2005,2008,C,7-0,280,"August 15, 1982",University of Colorado
Jason Hart,California,Black,2001,2010,G,6-3,185,"April 29, 1978",Syracuse University
Antonio Harvey,Mississippi,Black,1994,2003,F-C,6-11,225,"July 6, 1970",Pfeiffer University
Donnell Harvey,Georgia,Black,2001,2005,F,6-8,220,"August 26, 1980",University of Florida
Scott Haskin,California,Black,1994,1994,C-F,6-11,250,"September 19, 1970",Oregon State University
Udonis Haslem,Florida,Black,2004,2016,F,6-8,235,"June 9, 1980",University of Florida
Trenton Hassell,Tennessee,Black,2002,2010,G,6-5,200,"March 4, 1979",Austin Peay State University
Scott Hastings,Kansas,Black,1983,1993,F-C,6-10,235,"June 3, 1960",University of Arkansas
Kirk Haston,Tennessee,Black,2002,2003,F,6-9,242,"March 10, 1979",Indiana University
